Matrix multiplication , CPU , 10000, 23.413, 21.0396, 20.446
Matrix multiplication , CPU , 10000, 23.6721, 22.3227, 29.8081
Matrix multiplication , CPU , 10500, 40.8754, 34.3881, 32.691
Matrix multiplication , CPU , 10500, 34.2264, 32.4177, 39.0457
Matrix multiplication , CPU , 11000, 32.6895, 29.7003, 28.0625
Matrix multiplication , CPU , 11000, 41.9034, 36.0626, 41.048
Matrix multiplication , CPU , 11500, 53.9848, 53.9078, 43.7978
