[1]-Total no of Return statement,[2]-Total no of Control Statement,[3]-Total no of Allocation instruction,[4]-Total no of Load Instructions,[5]-Total no of Store Instructions,[6]-Total no of Multiplication (Float Datatype) Operation,[7]-Total no of Addition(Integer Datatype) Instruction,[8]-Total no of Multiplication(Integer Datatype) Instruction,[9]-Total no of Division(Float Datatype) instruction,[10]-Total no of Division(Integer Datatype) instruction,[11]-Total no of Condition Check instruction,[12]-Total no of Addition(Float Datatype) instruction,[13]-Total no of Addition(Integer Datatype) instruction,[14]-Total no of Subtraction(Float Datatype) instruction,[15]-Total no of Subtraction(Integer Datatype) instruction,[16]-Total no of Function Call instruction,[17]-Total no of Functions,[18]-Total no of Blocks,[19]-Total no of Instructions,[20]-Total no of Float Operation,[21]-Total no of Integer Operation,[22]-Total no of Loop Operation,[23]-Total no of Loop,[24]-Matrix Size,[25]-Speed up
1,0,0,2,1,0,1,1,0,0,0,0,1,1,0,2,4,1,13,8,13,0,0,11000,0.0563507
1,0,0,2,1,0,1,1,0,0,0,0,1,1,0,2,4,1,13,8,13,0,0,11500,0.0649754
1,0,0,2,1,0,1,1,0,0,0,0,1,1,0,2,4,1,13,8,13,0,0,12000,0.0755697
1,0,0,2,1,0,1,1,0,0,0,0,1,1,0,2,4,1,13,8,13,0,0,12500,0.08374939999999999
1,0,0,2,1,0,1,1,0,0,0,0,1,1,0,2,4,1,13,8,13,0,0,13000,0.0854757
1,0,0,2,1,0,1,1,0,0,0,0,1,1,0,2,4,1,13,8,13,0,0,13500,0.100161
1,0,0,2,1,0,1,1,0,0,0,0,1,1,0,2,4,1,13,8,13,0,0,14000,0.112525
1,0,0,2,1,0,1,1,0,0,0,0,1,1,0,2,4,1,13,8,13,0,0,14500,0.120577
1,0,0,2,1,0,1,1,0,0,0,0,1,1,0,2,4,1,13,8,13,0,0,15000,0.128828
1,0,0,2,1,0,1,1,0,0,0,0,1,1,0,2,4,1,13,8,13,0,0,15500,0.131475
1,0,0,2,1,0,1,1,0,0,0,0,1,1,0,2,4,1,13,8,13,0,0,16000,0.143312
1,0,0,2,1,0,1,1,0,0,0,0,1,1,0,2,4,1,13,8,13,0,0,16500,0.15516
1,0,0,2,1,0,1,1,0,0,0,0,1,1,0,2,4,1,13,8,13,0,0,17000,0.16095399999999999
1,0,0,2,1,0,1,1,0,0,0,0,1,1,0,2,4,1,13,8,13,0,0,17500,0.17044700000000002
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,10000,49.5413
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,10026,94.8563
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,10141,103.09700000000001
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,10198,94.5511
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,10230,85.9456
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,10238,95.0962
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,10275,108.262
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,10311,101.655
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,10316,86.7263
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,10332,83.037
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,10335,102.587
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,10337,109.12200000000001
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,10349,106.025
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,10350,101.87700000000001
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,10353,108.296
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,10380,85.1424
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,10387,108.117
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,10407,106.98700000000001
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,10426,123.602
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,10451,108.223
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,10476,89.1588
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,10481,114.978
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,10488,69.8977
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,10500,85.3201
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,10522,103.79
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,10555,112.64299999999999
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,10579,113.05
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,10591,103.89
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,10606,104.95299999999999
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,10614,101.367
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,10621,107.509
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,10622,93.5009
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,10724,93.4882
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,10728,67.6896
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,10733,114.819
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,10808,72.488
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,10833,118.095
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,10892,88.7129
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,10894,107.5
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,10917,126.809
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,10923,146.985
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,10941,113.12700000000001
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,10959,123.51
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,10977,126.206
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,10984,74.9361
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,11000,75.17
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,11001,115.421
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,11002,107.494
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,11012,99.7611
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,11017,120.927
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,11056,67.0777
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,11059,122.671
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,11081,124.01
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,11087,121.16799999999999
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,11119,126.37899999999999
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,11135,123.62899999999999
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,11144,78.4268
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,11161,126.98899999999999
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,11175,126.28399999999999
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,11190,116.147
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,11200,82.4364
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,11250,112.846
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,11289,120.90799999999999
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,11351,134.52
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,11367,128.974
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,11369,131.204
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,11385,127.39299999999999
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,11401,128.82399999999998
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,11429,132.401
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,11430,124.20100000000001
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,11457,131.274
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,11477,131.259
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,11481,133.49200000000002
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,11497,116.29
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,11500,102.37100000000001
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,11587,130.989
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,11604,106.851
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,11608,83.115
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,11712,91.7158
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,11753,133.769
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,11780,106.47200000000001
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,11790,130.795
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,11792,78.7381
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,11794,129.515
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,11796,120.796
