[1]-Total no of Return statement,[2]-Total no of Control Statement,[3]-Total no of Allocation instruction,[4]-Total no of Load Instructions,[5]-Total no of Store Instructions,[6]-Total no of Multiplication (Float Datatype) Operation,[7]-Total no of Addition(Integer Datatype) Instruction,[8]-Total no of Multiplication(Integer Datatype) Instruction,[9]-Total no of Division(Float Datatype) instruction,[10]-Total no of Division(Integer Datatype) instruction,[11]-Total no of Condition Check instruction,[12]-Total no of Addition(Float Datatype) instruction,[13]-Total no of Addition(Integer Datatype) instruction,[14]-Total no of Subtraction(Float Datatype) instruction,[15]-Total no of Subtraction(Integer Datatype) instruction,[16]-Total no of Function Call instruction,[17]-Total no of Functions,[18]-Total no of Blocks,[19]-Total no of Instructions,[20]-Total no of Float Operation,[21]-Total no of Integer Operation,[22]-Total no of Loop Operation,[23]-Total no of Loop,[24]-Ram,[25]-CPU Rank,[26]-GPU Rank,[27]-Matrix Size,[28]-Prefered Device
1, 0, 0, 2, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 2, 4, 1, 13, 8, 13, 0, 0, 8, 2000, 1000, 17000, 0
1, 0, 0, 2, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 2, 4, 1, 13, 8, 13, 0, 0, 8, 2000, 1000, 17500, 0
1, 0, 0, 1, 1, 0, 2, 2, 0, 0, 0, 0, 2, 0, 0, 2, 4, 1, 15, 6, 16, 0, 0, 8, 2000, 1000, 10000, 1
1, 0, 0, 1, 1, 0, 2, 2, 0, 0, 0, 0, 2, 0, 0, 2, 4, 1, 15, 6, 16, 0, 0, 8, 2000, 1000, 10500, 0
1, 0, 0, 1, 1, 0, 2, 2, 0, 0, 0, 0, 2, 0, 0, 2, 4, 1, 15, 6, 16, 0, 0, 8, 2000, 1000, 11000, 0
1, 0, 0, 1, 1, 0, 2, 2, 0, 0, 0, 0, 2, 0, 0, 2, 4, 1, 15, 6, 16, 0, 0, 8, 2000, 1000, 11500, 0
1, 0, 0, 1, 1, 0, 2, 2, 0, 0, 0, 0, 2, 0, 0, 2, 4, 1, 15, 6, 16, 0, 0, 8, 2000, 1000, 12000, 0
1, 0, 0, 1, 1, 0, 2, 2, 0, 0, 0, 0, 2, 0, 0, 2, 4, 1, 15, 6, 16, 0, 0, 8, 2000, 1000, 12500, 0
1, 0, 0, 1, 1, 0, 2, 2, 0, 0, 0, 0, 2, 0, 0, 2, 4, 1, 15, 6, 16, 0, 0, 8, 2000, 1000, 13000, 0
1, 0, 0, 1, 1, 0, 2, 2, 0, 0, 0, 0, 2, 0, 0, 2, 4, 1, 15, 6, 16, 0, 0, 8, 2000, 1000, 13500, 0
1, 0, 0, 1, 1, 0, 2, 2, 0, 0, 0, 0, 2, 0, 0, 2, 4, 1, 15, 6, 16, 0, 0, 8, 2000, 1000, 14000, 0
1, 0, 0, 1, 1, 0, 2, 2, 0, 0, 0, 0, 2, 0, 0, 2, 4, 1, 15, 6, 16, 0, 0, 8, 2000, 1000, 14500, 0
1, 0, 0, 1, 1, 0, 2, 2, 0, 0, 0, 0, 2, 0, 0, 2, 4, 1, 15, 6, 16, 0, 0, 8, 2000, 1000, 15000, 0
1, 0, 0, 1, 1, 0, 2, 2, 0, 0, 0, 0, 2, 0, 0, 2, 4, 1, 15, 6, 16, 0, 0, 8, 2000, 1000, 15500, 0
1, 0, 0, 1, 1, 0, 2, 2, 0, 0, 0, 0, 2, 0, 0, 2, 4, 1, 15, 6, 16, 0, 0, 8, 2000, 1000, 16000, 0
1, 0, 0, 1, 1, 0, 2, 2, 0, 0, 0, 0, 2, 0, 0, 2, 4, 1, 15, 6, 16, 0, 0, 8, 2000, 1000, 16500, 0
1, 0, 0, 1, 1, 0, 2, 2, 0, 0, 0, 0, 2, 0, 0, 2, 4, 1, 15, 6, 16, 0, 0, 8, 2000, 1000, 17000, 0
1, 0, 0, 1, 1, 0, 2, 2, 0, 0, 0, 0, 2, 0, 0, 2, 4, 1, 15, 6, 16, 0, 0, 8, 2000, 1000, 17500, 0
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10000, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10026, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10141, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10198, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10230, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10238, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10275, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10311, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10316, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10332, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10335, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10337, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10349, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10350, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10353, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10380, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10387, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10407, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10426, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10451, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10476, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10481, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10488, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10500, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10522, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10555, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10579, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10591, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10606, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10614, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10621, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10622, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10724, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10728, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10733, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10808, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10833, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10892, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10894, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10917, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10923, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10941, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10959, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10977, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10984, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11000, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11001, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11002, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11012, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11017, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11056, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11059, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11081, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11087, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11119, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11135, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11144, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11161, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11175, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11190, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11200, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11250, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11289, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11351, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11367, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11369, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11385, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11401, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11429, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11430, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11457, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11477, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11481, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11497, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11500, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11587, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11604, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11608, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11712, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11753, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11780, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11790, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11792, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11794, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11796, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11867, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11990, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11998, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 12000, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 12026, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 12040, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 12052, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 12063, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 12090, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 12125, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 12129, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 12151, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 12189, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 12191, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 12211, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 12216, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 12287, 1
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 12392, 1
