[1]-Total no of Return statement,[2]-Total no of Control Statement,[3]-Total no of Allocation instruction,[4]-Total no of Load Instructions,[5]-Total no of Store Instructions,[6]-Total no of Multiplication (Float Datatype) Operation,[7]-Total no of Addition(Integer Datatype) Instruction,[8]-Total no of Multiplication(Integer Datatype) Instruction,[9]-Total no of Division(Float Datatype) instruction,[10]-Total no of Division(Integer Datatype) instruction,[11]-Total no of Condition Check instruction,[12]-Total no of Addition(Float Datatype) instruction,[13]-Total no of Addition(Integer Datatype) instruction,[14]-Total no of Subtraction(Float Datatype) instruction,[15]-Total no of Subtraction(Integer Datatype) instruction,[16]-Total no of Function Call instruction,[17]-Total no of Functions,[18]-Total no of Blocks,[19]-Total no of Instructions,[20]-Total no of Float Operation,[21]-Total no of Integer Operation,[22]-Total no of Loop Operation,[23]-Total no of Loop,[24]-Ram,[25]-CPU Rank,[26]-GPU Rank,[27]-Matrix Size,[28]-Speed up
1, 0, 0, 2, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 2, 4, 1, 13, 8, 13, 0, 0, 8, 2000, 1000, 16500, 0.15515966666666675
1, 0, 0, 2, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 2, 4, 1, 13, 8, 13, 0, 0, 8, 2000, 1000, 17000, 0.16095399999999993
1, 0, 0, 2, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 2, 4, 1, 13, 8, 13, 0, 0, 8, 2000, 1000, 17500, 0.17044700000000007
1, 0, 0, 1, 1, 0, 2, 2, 0, 0, 0, 0, 2, 0, 0, 2, 4, 1, 15, 6, 16, 0, 0, 8, 2000, 1000, 10000, 0.06494133333333335
1, 0, 0, 1, 1, 0, 2, 2, 0, 0, 0, 0, 2, 0, 0, 2, 4, 1, 15, 6, 16, 0, 0, 8, 2000, 1000, 10500, 0.05741866666666667
1, 0, 0, 1, 1, 0, 2, 2, 0, 0, 0, 0, 2, 0, 0, 2, 4, 1, 15, 6, 16, 0, 0, 8, 2000, 1000, 11000, 0.06536299999999998
1, 0, 0, 1, 1, 0, 2, 2, 0, 0, 0, 0, 2, 0, 0, 2, 4, 1, 15, 6, 16, 0, 0, 8, 2000, 1000, 11500, 0.07060233333333332
1, 0, 0, 1, 1, 0, 2, 2, 0, 0, 0, 0, 2, 0, 0, 2, 4, 1, 15, 6, 16, 0, 0, 8, 2000, 1000, 12000, 0.07721700000000001
1, 0, 0, 1, 1, 0, 2, 2, 0, 0, 0, 0, 2, 0, 0, 2, 4, 1, 15, 6, 16, 0, 0, 8, 2000, 1000, 12500, 0.08830133333333332
1, 0, 0, 1, 1, 0, 2, 2, 0, 0, 0, 0, 2, 0, 0, 2, 4, 1, 15, 6, 16, 0, 0, 8, 2000, 1000, 13000, 0.09837266666666666
